keyword,tier_number,tier_name,est_uk_vol_low,est_uk_vol_high,search_intent,competition,ecoglam_priority,source,validation_note
sustainable fashion,1,High Volume Awareness,2200,3200,Informational,Very High,Core term,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
fast fashion,1,High Volume Awareness,13000,20000,Mixed,High,Negative positioning content,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
ethical clothing,1,High Volume Awareness,1500,2500,Commercial,High,Strong product/brand fit,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
slow fashion,1,High Volume Awareness,1400,2200,Informational,Medium,Values-driven audience,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
eco friendly clothes,1,High Volume Awareness,1200,2000,Commercial,High,Product category term,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
greenwashing,1,High Volume Awareness,13000,20000,Investigational,High,Trust/content opportunity,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
sustainable clothing brands UK,2,Consideration Intent,800,1400,Commercial,Medium,High priority — buyer evaluating,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
ethical fashion brands UK,2,Consideration Intent,600,1000,Commercial,Medium,High priority,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
circular fashion,2,Consideration Intent,500,800,Informational,Low-Medium,Fastest growing — act now,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
capsule wardrobe,2,Consideration Intent,3000,5000,Informational,Medium,Lifestyle fit,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
sustainable wardrobe,2,Consideration Intent,400,700,Informational,Low,Long-tail opportunity,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
organic cotton clothing UK,2,Consideration Intent,500,900,Commercial,Medium,Material-specific search,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
GOTS certified clothing,2,Consideration Intent,200,400,Investigational,Low,High-trust searcher,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
B Corp fashion brands UK,2,Consideration Intent,300,600,Investigational,Low,Credibility verification,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
fair trade clothing UK,2,Consideration Intent,400,700,Commercial,Low-Medium,Values-led buyer,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
sustainable women's clothing UK,3,High Conversion Intent,300,600,Transactional,Low,Highest priority conversion,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
ethical men's clothing UK,3,High Conversion Intent,200,400,Transactional,Low,High priority,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
sustainable capsule wardrobe UK,3,High Conversion Intent,150,300,Transactional,Low,Highest conversion likelihood,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
ethical workwear women UK,3,High Conversion Intent,200,400,Transactional,Low,Ethical Professional Minimalist,Exploding Topics (2026) + Professional SEO analysis,Validate in Google Trends / Google Keyword Planner before citing
