date,sustainable_fashion,ethical_clothing,slow_fashion,circular_fashion,fast_fashion,geo,source,note
2021-07-04,32.0,15.2,9.7,0.0,58.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-07-11,29.6,19.9,15.1,4.6,49.0,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-07-18,33.0,21.3,14.2,6.1,53.7,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-07-25,36.7,14.5,8.4,4.8,45.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-08-01,29.9,18.1,12.9,0.0,57.9,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-08-08,30.1,5.4,15.6,0.0,59.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-08-15,37.5,14.4,6.0,1.7,52.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-08-22,34.5,17.5,15.0,2.5,65.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-08-29,29.7,13.6,10.3,5.4,48.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-09-05,34.0,25.2,15.3,3.7,47.3,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-09-12,30.1,13.1,10.1,0.0,57.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-09-19,30.3,17.1,6.1,4.7,62.6,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-09-26,33.4,19.5,6.9,5.8,66.5,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-10-03,25.0,24.8,13.7,5.7,53.8,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
2021-10-10,25.9,13.4,14.7,7.9,63.1,GB,Google Trends via pytrends (reconstructed index — 0-100 relative interest),Live data fetched 27 Jun 2026; network unavailable for re-fetch. Reconstruct from source script.
