finding,scope,year,source,methodology,url,accessed
58% of UK adults reduced number of new products bought in past 12 months,UK,2024,Deloitte/YouGov,"2,000+ UK adults Jul 2024",https://www.deloitte.com/uk/en/pages/consumer-business/articles/sustainable-consumer.html,29 Jun 2026
61% of UK adults cite cost as primary barrier to sustainable lifestyle,UK,2024,Deloitte/YouGov,"2,000+ UK adults Jul 2024",https://www.deloitte.com/uk/en/pages/consumer-business/articles/sustainable-consumer.html,29 Jun 2026
50% of UK adults say lack of information stops sustainable choices,UK,2024,Deloitte/YouGov,"2,000+ UK adults Jul 2024",https://www.deloitte.com/uk/en/pages/consumer-business/articles/sustainable-consumer.html,29 Jun 2026
56% of UK adults fixed or repaired products rather than replacing,UK,2024,Deloitte/YouGov,"2,000+ UK adults Jul 2024",https://www.deloitte.com/uk/en/pages/consumer-business/articles/sustainable-consumer.html,29 Jun 2026
Adoption of sustainable actions has plateaued year-on-year,UK,2024,Deloitte/YouGov,"2,000+ UK adults Jul 2024",https://www.deloitte.com/uk/en/pages/consumer-business/articles/sustainable-consumer.html,29 Jun 2026
73% of consumers say sustainability influences purchase decisions,Global,2026,Gitnux,Aggregated,https://gitnux.org/sustainable-fashion-industry-statistics/,29 Jun 2026
62% of Millennials prefer brands with sustainability commitments,Global,2026,Gitnux,Aggregated,https://gitnux.org/sustainable-fashion-industry-statistics/,29 Jun 2026
81% of Gen Z demand sustainable practices from brands,Global,2026,Gitnux,Aggregated,https://gitnux.org/sustainable-fashion-industry-statistics/,29 Jun 2026
92% of Gen Z willing to pay more for eco-friendly products,Global,2026,Gitnux,Aggregated,https://gitnux.org/sustainable-fashion-industry-statistics/,29 Jun 2026
84% of Europeans consider sustainability in fashion purchase decisions,European,2026,Gitnux,Aggregated,https://gitnux.org/sustainable-fashion-industry-statistics/,29 Jun 2026
64% of consumers avoid fast fashion brands due to ethical concerns,Global,2026,Gitnux,Aggregated,https://gitnux.org/sustainable-fashion-industry-statistics/,29 Jun 2026
75% would boycott brands without supply chain transparency,Global,2026,Gitnux,Aggregated,https://gitnux.org/sustainable-fashion-industry-statistics/,29 Jun 2026
65% say they want to buy sustainable; only 26% actually do (value-action gap),Global,2019,Harvard Business Review,Multiple studies,https://hbr.org/2019/07/the-elusive-green-consumer,29 Jun 2026
EU Revised Waste Framework Directive entered into force October 2025,EU,2025,EU Commission,EU legislation,https://environment.ec.europa.eu/strategy/textiles-strategy_en,29 Jun 2026
Only 26% average transparency score across 250 major fashion brands,Global,2024,Fashion Revolution,250 brands rated,https://www.fashionrevolution.org/fashion-transparency-index/,29 Jun 2026
49% of all used UK textiles disposed of in general waste (35 items/person/year),UK,2024,WRAP,UK market data,https://wrap.org.uk/resources/report/textiles-market-situation-report-2024,29 Jun 2026
Average UK clothing item cost: £16.70 in 2023 (down 2% since 2015),UK,2024,WRAP,UK market data,https://wrap.org.uk/resources/report/textiles-market-situation-report-2024,29 Jun 2026
"Greenwashing: 165,000 global monthly searches (+77% growth, Exploding)",Global,2026,Exploding Topics,Topic tracking,https://explodingtopics.com/topic/greenwashing,29 Jun 2026
"Circular fashion: +325% growth (Exploding), discovered Feb 2024",Global,2026,Exploding Topics,Topic tracking,https://explodingtopics.com/topic/circular-fashion,29 Jun 2026
"'sustainable boots' UK search index = 0 (too low to measure, 5-year)",UK,2026,Google Trends,Live UK data,https://trends.google.com/trends/explore?q=sustainable+boots&geo=GB&date=today+5-y,29 Jun 2026
'waterproof boots' UK index peaks at 47–50 in October–November annually,UK,2026,Google Trends,Live UK data,https://trends.google.com/trends/explore?q=waterproof+boots&geo=GB&date=today+5-y,29 Jun 2026
England (100) + Scotland (88) = highest UK sustainable boots search interest,UK,2026,Google Trends,Live UK data – regional,https://trends.google.com/trends/explore?q=sustainable+boots&geo=GB&date=today+5-y,29 Jun 2026
