citation,title,year,scope,access,url,status
Google Trends (2026),Search interest: sustainable/eco boots UK 5yr,2026,UK,Free – Google account,"https://trends.google.com/trends/explore?q=sustainable+boots,hiking+boots,waterproof+boots,vegan+boots&geo=GB&date=today+5-y",✅ Live data retrieved 29 Jun 2026
Google Trends (2026),Search interest: sustainable fashion keywords UK 5yr,2026,UK,Free – Google account,"https://trends.google.com/trends/explore?q=sustainable+fashion,ethical+clothing,slow+fashion,circular+fashion,greenwashing&geo=GB&date=today+5-y",✅ Live data retrieved 29 Jun 2026
Exploding Topics (2026),"Sustainable fashion – vol 27,100 +283% Peaked",2026,Global,Free,https://explodingtopics.com/topic/sustainable-fashion,✅ Verified 29 Jun 2026
Exploding Topics (2026),"Greenwashing – vol 165,000 +77% Exploding",2026,Global,Free,https://explodingtopics.com/topic/greenwashing,✅ Verified 29 Jun 2026
Exploding Topics (2026),"Circular fashion – vol 6,600 +325% Exploding",2026,Global,Free,https://explodingtopics.com/topic/circular-fashion,✅ Verified 29 Jun 2026
Exploding Topics (2026),"Slow fashion – vol 18,100 +161% Growing",2026,Global,Free,https://explodingtopics.com/topic/slow-fashion,✅ Verified 29 Jun 2026
Exploding Topics (2026),"Fast fashion – vol 165,000 +81% Exploding",2026,Global,Free,https://explodingtopics.com/topic/fast-fashion,✅ Verified 29 Jun 2026
Deloitte/YouGov (2024),"Sustainable Consumer UK 2024 – n=2,000+ UK adults",2024,UK,Free,https://www.deloitte.com/uk/en/pages/consumer-business/articles/sustainable-consumer.html,✅ Data retrieved 27 Jun 2026
"Demirci, E. / Gitnux (2026)",Sustainable Fashion Industry Statistics,2026,Global,Free,https://gitnux.org/sustainable-fashion-industry-statistics/,✅ Data retrieved 27 Jun 2026
European Commission (2023),EU Strategy for Sustainable and Circular Textiles,2023,EU,Free,https://environment.ec.europa.eu/strategy/textiles-strategy_en,✅ Data retrieved 27 Jun 2026
European Commission (2025),Revised Waste Framework Directive – in force Oct 2025,2025,EU,Free,https://environment.ec.europa.eu/strategy/textiles-strategy_en,✅ Data retrieved 27 Jun 2026
European Parliament (2023),Fast Fashion: How it Impacts Our Planet,2023,EU,Free,https://www.europarl.europa.eu/news/en/headlines/society/20201208STO93327/fast-fashion-how-it-impacts-our-planet,✅ Data retrieved 27 Jun 2026
Fashion Revolution (2024),Fashion Transparency Index 2024: What Fuels Fashion?,2024,Global,Free,https://www.fashionrevolution.org/fashion-transparency-index/,✅ Data retrieved 27 Jun 2026
Fashion Revolution (2020),"Consumer Survey 2020 – 5,000 EU consumers incl UK",2020,EU/UK,Free,https://www.fashionrevolution.org/resources/,✅ Accessed 27 Jun 2026
WRAP (2024),Textiles Market Situation Report 2024,2024,UK,Free,https://wrap.org.uk/resources/report/textiles-market-situation-report-2024,✅ Data retrieved 27 Jun 2026
WRAP (2025),UK Textiles Pact Annual Progress Report 2024–25,2025,UK,Free,https://wrap.org.uk/taking-action/textiles,✅ Data retrieved 27 Jun 2026
Harvard Business Review (2019),The Elusive Green Consumer,2019,Global,Free,https://hbr.org/2019/07/the-elusive-green-consumer,✅ Data retrieved 27 Jun 2026
McKinsey & Company (2025),The State of Fashion 2025 – free PDF,2025,Global,Free,https://www.mckinsey.com/industries/retail/our-insights/state-of-fashion-2025,Recommended – free download
McKinsey & Company (2026),The State of Fashion 2026 – free PDF,2026,Global,Free,https://www.mckinsey.com/industries/retail/our-insights/state-of-fashion-2026,Recommended – free download
Global Fashion Agenda (2023),GFA Monitor 2023: Net Positive Fashion,2023,Global,Free,https://globalfashionagenda.org/resource/the-gfa-monitor-2023/,Cited in EcoGlam brief
PwC (2023),Global Consumer Insights Pulse Survey,2023,Global,Free,https://www.pwc.com/gx/en/consumer-markets/consumer-insights-survey.html,✅ Data retrieved 27 Jun 2026
ONS (2023),Family Spending in the UK: Apr 2022–Mar 2023,2023,UK,Free,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/expenditure/bulletins/familyspendingintheuk/april2022tomarch2023,Recommended
ONS (2023),Annual Survey of Hours and Earnings 2023,2023,UK,Free,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/bulletins/annualsurveyofhoursandearnings/2023,Recommended
Vivienne Westwood,Sustainability – source of 'Buy Less. Choose Well.' quote,—,—,Free,https://www.viviennewestwood.com/en/sustainability/,Cited in EcoGlam brief
"Bell, J. (2022)",101 Ethical & Sustainable Fashion Statistics,2022,Global,Free,https://goodmakertales.com/ethical-fashion-statistics/,Cited in EcoGlam brief
Mintel (2025),UK Fashion & Sustainability Market Report 2025,2025,UK,LSE Library,https://www.lse.ac.uk/library  →  Mintel Academic,Institutional access recommended
Statista (2023),UK consumers limiting environmental impact – top factors,2023,UK,LSE Library,https://www.statista.com/statistics/1313033/main-factors-consumers-shop-sustainably-uk/,Paywall – free via LSE
GlobalData (2025),UK Clothing & Accessories Market Report 2025,2025,UK,LSE Library,https://www.lse.ac.uk/library  →  GlobalData Academic,Institutional access recommended
YouGov (2025),UK Fast Fashion Consumer Survey 2025,2025,UK,Free / LSE Library,https://yougov.co.uk/topics/consumer,Partial free access
Google Keyword Planner,UK monthly search volumes – sustainable fashion terms,2026,UK,Free (Google account),https://ads.google.com/home/tools/keyword-planner/,Recommended for live keyword volumes
